Time,Amplitude,HeartBeats,HeartRate
0.002,-3.774999,0.0,64.32889426961336
0.003,-3.7750013,0.0,64.37872239467598
0.004,-3.774917,0.0,64.42854810278632
0.005,-3.7746296,0.0,64.47837134335947
0.006,-3.7739584,0.0,64.52819206581792
0.007,-2.7726073,0.0,64.5780102195917
0.008,-2.7702432,0.0,64.62782575411862
0.009,-2.7664943,0.0,64.67763861884423
0.01,-1.760839,0.0,64.72744876322224
0.011,-2.7528226,0.0,64.77725613671444
0.012,-2.7418785,0.0,64.82706068879102
0.013,-2.7274966,0.0,64.87686236893065
0.014,-2.7091362,0.0,64.92675055311847
0.015,-1.6861925,0.0,64.9765467860171
0.016,-2.6582203,0.0,65.02633999762281
0.017,-1.6247144,0.0,65.07613013745959
0.018,-1.5852381,0.0,65.12591715506079
0.019,-1.5394571,0.0,65.17570099996918
0.02,-1.4870918,0.0,65.22548162173713
0.021,-0.42802942,0.0,65.27525896992675
0.022,-0.3621875,0.0,65.32503299411015
0.023,0.7103764,0.0,65.37480364386938
0.024,0.7893705,0.0,65.42457086879679
0.025,0.87447333,0.0,65.47433461849506
0.026,1.9651288,0.0,65.52409484257745
0.027,1.0606599,0.0,65.57385149066785
0.028,2.1601365,0.0,65.62360451240096
0.029,2.2625217,0.0,65.67335385742251
0.03,1.3665771,0.0,65.72309947538942
0.031,1.4708661,0.0,65.77284131596976
0.032,1.5738035,0.0,65.82257932884316
0.033,2.6735687,0.0,65.8723134637008
0.034,2.7682762,0.0,65.9220436702456
0.035,1.8557597,0.0,65.97176989819243
0.036,2.9337962,0.0,66.0214920972682
0.037,2.999954,0.0,66.07121021721196
0.038,3.0517545,0.0,66.1209242077752
0.039,2.086567,0.0,66.17063401872196
0.04,2.101731,0.0,66.22033959982879
0.041,2.0944684,0.0,66.27004090088522
0.042,2.062015,0.0,66.31973787169366
0.043,2.001561,0.0,66.36943046206967
0.044,1.9103674,0.0,66.41911862184212
0.045,1.7856988,0.0,66.46880230085323
0.046,0.62491554,0.0,66.51848144895887
0.047,0.42549387,0.0,66.5681560160286
0.048,0.1850408,0.0,66.6178259519459
0.049,-0.09868577,0.0,66.66749120660825
0.05,0.5723283,0.0,66.71715172992735
0.051,1.1962934,0.0,66.76680747182924
0.052,2.7716672,0.0,66.81645838225441
0.053,3.2972417,0.0,66.86610441115806
0.054,2.7721095,0.0,66.91574550851008
0.055,3.1957402,0.0,66.96538162429546
0.056,3.567878,0.0,67.01501270851416
0.057,4.8887796,0.0,67.06463871118142
0.058,5.1590643,0.0,67.11425958232792
0.059,5.379815,0.0,67.16387527199986
0.06,5.552482,0.0,67.21348573025915
0.061,6.6790934,0.0,67.26309090718357
0.062,6.762041,0.0,67.31269075286684
0.063,6.804252,0.0,67.36228521741897
0.064,7.809128,0.0,67.41187425096612
0.065,8.780485,0.0,67.46145780365103
0.066,8.722654,0.0,67.51103582563299
0.067,7.640424,0.0,67.56060826708806
0.068,7.538993,0.0,67.61017507820921
0.069,6.4239855,0.0,67.65973620920649
0.07,5.3014197,0.0,67.7092916103071
0.071,5.1777334,0.0,67.75884123175571
0.072,4.059595,0.0,67.80838502381441
0.073,2.954124,0.0,67.85792293676296
0.074,0.8685588,0.0,67.90745492089897
0.075,-1.1895146,0.0,67.956980926538
0.076,-2.2124357,0.0,68.00650090401369
0.077,-4.1923347,0.0,68.05601480367801
0.078,-5.1213207,0.0,68.10552257590122
0.079,-6.9914246,0.0,68.15502417107228
0.08,-7.794788,0.0,68.2045195395988
0.081,-9.523506,0.0,68.2540086319072
0.082,-10.169997,0.0,68.303491398443
0.083,-11.726722,0.0,68.3529677896708
0.084,-12.18647,0.0,68.40243775607459
0.085,-13.542408,0.0,68.4519012481577
0.086,-14.787979,0.0,68.50135821644315
0.087,-13.917188,0.0,68.55080861147373
0.088,-14.924432,0.0,68.60025238381206
0.089,-14.804756,0.0,68.64968948404086
0.09,-14.553773,0.0,68.69911986276307
0.091,-14.167753,0.0,68.74854347060186
0.092,-13.643695,0.0,68.79796025820107
0.093,-12.979339,0.0,68.84737017622507
0.094,-12.1732435,0.0,68.89677317535902
0.095,-12.2247505,0.0,68.9461692063091
0.096,-11.134119,0.0,68.99555821980249
0.097,-9.902456,0.0,69.04494016658768
0.098,-9.531822,0.0,69.09431499743448
0.099,-9.02512,0.0,69.14368266313429
0.1,-8.386262,0.0,69.19304311450013
0.101,-6.620101,0.0,69.24239630236687
0.102,-5.7323947,0.0,69.29174217759143
0.103,-4.7297745,0.0,69.34108069105271
0.104,-4.6198673,0.0,69.39041179365198
0.105,-3.411161,0.0,69.43973543631292
0.106,-3.1129675,0.0,69.48905156998171
0.107,-2.7354736,0.0,69.53836014562731
0.108,-2.2895563,0.0,69.58766111424147
0.109,-0.78689873,0.0,69.63695442683903
0.11,1.7601615,0.0,69.68624003445782
0.111,2.3386571,0.0,69.73551788815918
0.112,3.935102,0.0,69.78478793902774
0.113,4.535509,0.0,69.83405013817173
0.114,5.1254964,0.0,69.88330443672318
0.115,5.6903987,0.0,69.9325507858379
0.116,7.2152166,0.0,69.98178913669584
0.117,9.684875,0.0,70.03101944050101
0.118,11.084197,0.0,70.08024164848185
0.119,14.398053,0.0,70.12945571189115
0.12,16.611486,0.0,70.17866158200634
0.121,19.709656,0.0,70.22785921012965
0.122,21.678137,0.0,70.27704854758815
0.123,22.502836,0.0,70.32622954573397
0.124,23.170248,0.0,70.37540215594444
0.125,23.667414,0.0,70.42456632962218
0.126,24.982067,0.0,70.47372201819532
0.127,27.10279,0.0,70.52286917311763
0.128,28.01895,0.0,70.57200774586856
0.129,27.720884,0.0,70.62113768795356
0.13,27.200054,0.0,70.67025895090406
0.131,27.448875,0.0,70.71937148627775
0.132,27.46106,0.0,70.76847524565858
0.133,26.231453,0.0,70.81757018065704
0.134,24.756273,0.0,70.86665624291025
0.135,23.033028,0.0,70.91573338408207
0.136,21.060509,0.0,70.96480155586329
0.137,19.839071,0.0,71.01386070997172
0.138,18.370405,0.0,71.06291079815246
0.139,16.657639,0.0,71.1119517721778
0.14,14.705347,0.0,71.16098358384765
0.141,12.519599,0.0,71.21000618498948
0.142,10.107823,0.0,71.25901952745859
0.143,7.4789376,0.0,71.3080235631381
0.144,4.6431394,0.0,71.35701824393921
0.145,1.6120592,0.0,71.4060035218014
0.146,-1.6014115,0.0,71.45497934869235
0.147,-4.9831333,0.0,71.50394567660834
0.148,-9.517807,0.0,71.55290245757416
0.149,-12.189033,0.0,71.60184964364349
0.15,-16.97936,0.0,71.65078718689877
0.151,-19.870451,0.0,71.69971503945162
0.152,-23.843065,0.0,71.74863315344274
0.153,-27.87725,0.0,71.79754148104217
0.154,-31.952463,0.0,71.84643997444951
0.155,-37.047573,0.0,71.89532858589385
0.156,-42.141075,0.0,71.94420726763408
0.157,-47.211132,0.0,71.99307597195896
0.158,-50.2358,0.0,72.0419346511873
0.159,-53.19305,0.0,72.09078325766808
0.16,-56.060947,0.0,72.13962174378052
0.161,-59.817787,0.0,72.18845006193439
0.162,-64.44214,0.0,72.23726816456998
0.163,-68.913124,0.0,72.28607600415832
0.164,-75.21039,0.0,72.33487353320129
0.165,-79.31425,0.0,72.38366070423181
0.166,-83.20593,0.0,72.43243746981389
0.167,-85.867584,0.0,72.48120378254288
0.168,-87.28233,0.0,72.52995959504548
0.169,-88.43452,0.0,72.57870485998005
0.17,-89.30975,0.0,72.62743953003657
0.171,-88.8949,0.0,72.67616355793682
0.172,-85.17841,0.0,72.72487689643467
0.173,-77.14998,0.0,72.77357949831595
0.174,-65.80116,0.0,72.82227131639891
0.175,-50.124897,0.0,72.87095230353404
0.176,-30.115978,0.0,72.91962241260445
0.177,-6.7708097,0.0,72.96828159652584
0.178,18.912415,0.0,73.01692980824673
0.179,46.93378,0.0,73.0655670007486
0.18,75.29155,0.0,73.11419312704598
0.181,104.98225,0.0,73.1628081401866
0.182,134.00058,0.0,73.21141199325153
0.183,161.33957,0.0,73.26000463935534
0.184,187.99057,0.0,73.30858603164623
0.185,212.94316,0.0,73.35715612330608
0.186,236.18546,0.0,73.40571486755073
0.187,257.70383,0.0,73.45426221763002
0.188,274.48334,0.0,73.50279812682793
0.189,286.50772,0.0,73.55132254846275
0.19,286.75906,1.0,73.5998354358872
0.191,272.21866,0.0,73.64833674248857
0.192,239.86647,0.0,73.6968264216888
0.193,193.68147,0.0,73.74530442694473
0.194,136.64168,0.0,73.79377071174812
0.195,75.72456,0.0,73.84222522962587
0.196,15.906891,0.0,73.89066793414003
0.197,-41.835194,0.0,73.93909877888814
0.198,-96.525795,0.0,73.98751771750314
0.199,-145.18932,0.0,74.03592470365365
0.2,-184.85016,0.0,74.08431969104406
0.201,-215.53284,0.0,74.13270263341467
0.202,-235.26167,0.0,74.18107348454177
0.203,-245.0605,0.0,74.22943219823784
0.204,-245.9529,0.0,74.27777872835172
0.205,-238.96182,0.0,74.32611302876859
0.206,-225.10959,0.0,74.37443505341025
0.207,-205.41766,0.0,74.42274475623516
0.208,-183.90642,0.0,74.47104209123864
0.209,-160.59554,0.0,74.51932701245298
0.21,-135.50319,0.0,74.56759947394751
0.211,-111.646576,0.0,74.61585942982882
0.212,-88.04143,0.0,74.6641068342409
0.213,-66.702194,0.0,74.71234164136507
0.214,-46.641678,0.0,74.76056380542046
0.215,-29.8713,0.0,74.80877328066383
0.216,-15.400808,0.0,74.85697002138984
0.217,-1.2382557,0.0,74.90515398193116
0.218,9.6098175,0.0,74.9533251166586
0.219,20.138657,0.0,75.00148337998124
0.22,29.34526,0.0,75.04962872634653
0.221,37.228226,0.0,75.0977611102405
0.222,43.787884,0.0,75.14588048618775
0.223,49.026287,0.0,75.19398680875177
0.224,52.94711,0.0,75.24208003253489
0.225,55.555656,0.0,75.2901601121785
0.226,56.858776,0.0,75.33822700236317
0.227,57.864853,0.0,75.38628065780877
0.228,57.583755,0.0,75.43432103327456
0.229,58.026646,0.0,75.4823480835594
0.23,57.206047,0.0,75.5303617635018
0.231,56.135654,0.0,75.57836202798013
0.232,54.830326,0.0,75.62634883191264
0.233,53.305935,0.0,75.67432213025766
0.234,51.57921,0.0,75.72228187801373
0.235,50.667736,0.0,75.7702280302197
0.236,48.58979,0.0,75.81816054195487
0.237,46.36422,0.0,75.86607936833909
0.238,44.01032,0.0,75.91398446453292
0.239,41.54777,0.0,75.96187578573776
0.24,38.99644,0.0,76.00975328719593
0.241,36.376293,0.0,76.05761692419085
0.242,32.707256,0.0,76.10546665204711
0.243,29.009241,0.0,76.15330242613067
0.244,25.301811,0.0,76.20112420184891
0.245,21.604197,0.0,76.24893193465076
0.246,19.935125,0.0,76.29672558002692
0.247,16.312841,0.0,76.34450509350982
0.248,12.754858,0.0,76.39227043067395
0.249,10.277968,0.0,76.44002154713579
0.25,6.898054,0.0,76.48775839855402
0.251,2.63014,0.0,76.53548094062967
0.252,-0.5117612,0.0,76.58318912910619
0.253,-2.5147629,0.0,76.63088291976965
0.254,-4.367042,0.0,76.67856226844872
0.255,-7.057955,0.0,76.72622713101491
0.256,-9.578113,0.0,76.77387746338272
0.257,-11.919366,0.0,76.82151322150968
0.258,-14.07482,0.0,76.8691343613964
0.259,-16.038904,0.0,76.91674083908696
0.26,-18.807314,0.0,76.96433261066873
0.261,-20.377111,0.0,77.01190963227269
0.262,-21.7466,0.0,77.05947186007344
0.263,-23.915379,0.0,77.1070192502894
0.264,-25.884329,0.0,77.1545517591829
0.265,-26.655539,0.0,77.20206934306024
0.266,-27.232233,0.0,77.24957195827194
0.267,-27.618866,0.0,77.29705956121276
0.268,-26.820932,0.0,77.34453210832183
0.269,-26.844927,0.0,77.39198955608278
0.27,-25.698366,0.0,77.43943186102389
0.271,-24.3897,0.0,77.48685897971822
0.272,-23.92805,0.0,77.53427086878361
0.273,-22.3234,0.0,77.58166748488293
0.274,-20.5864,0.0,77.62904878472418
0.275,-20.728216,0.0,77.67641472506054
0.276,-18.760574,0.0,77.72376526269052
0.277,-16.69558,0.0,77.77110035445814
0.278,-14.545636,0.0,77.81841995725294
0.279,-12.323418,0.0,77.86572402801016
0.28,-11.041697,0.0,77.91301252371092
0.281,-9.71334,0.0,77.96028540138217
0.282,-8.351101,0.0,78.00754261809692
0.283,-6.967749,0.0,78.05478413097441
0.284,-5.575728,0.0,78.1020098971801
0.285,-4.1872606,0.0,78.14921987392579
0.286,-2.8141682,0.0,78.19641401846995
0.287,-0.46792147,0.0,78.24359228811753
0.288,-0.15941538,0.0,78.29075464022023
0.289,2.100972,0.0,78.3379010321767
0.29,4.3034697,0.0,78.38503142143246
0.291,4.43899,0.0,78.43214576548016
0.292,5.4992037,0.0,78.47924402185967
0.293,7.476483,0.0,78.5263261481581
0.294,8.363984,0.0,78.57339210201012
0.295,9.155752,0.0,78.62044184109777
0.296,9.846578,0.0,78.66747532315091
0.297,10.432211,0.0,78.71449250594704
0.298,11.9092245,0.0,78.7614933473116
0.299,12.275049,0.0,78.80847780511806
0.3,12.5280285,0.0,78.8554458372879
0.301,13.667374,0.0,78.90239740179098
0.302,14.693085,0.0,78.9493324566453
0.303,15.606048,0.0,78.99625095991743
0.304,15.407989,0.0,79.04315286972246
0.305,15.10135,0.0,79.09003814422418
0.306,14.68932,0.0,79.13690674163513
0.307,13.175829,0.0,79.18375862021674
0.308,13.565467,0.0,79.23059373827944
0.309,12.863439,0.0,79.27741205418278
0.31,13.075503,0.0,79.32421352633554
0.311,13.207904,0.0,79.37099811319582
0.312,12.267429,0.0,79.41776577327117
0.313,10.261239,0.0,79.46451646511872
0.314,9.196755,0.0,79.51125014734521
0.315,8.081782,0.0,79.55796677860715
0.316,6.924358,0.0,79.60466631761102
0.317,6.7326117,0.0,79.6513487231132
0.318,5.5148144,0.0,79.69801395392017
0.319,4.2792997,0.0,79.74466196888866
